Hid,Restaurant_Name,rDistance
1,Dragon Dynasty,2
2,Dragon Dynasty,4
3,Dragon Dynasty,1
4,Dragon Dynasty,3
5,Dragon Dynasty,6
6,Dragon Dynasty,4
7,Dragon Dynasty,2
8,Dragon Dynasty,3
9,Dragon Dynasty,4
10,Dragon Dynasty,5
11,Dragon Dynasty,6
12,Dragon Dynasty,1
13,Dragon Dynasty,5
14,Dragon Dynasty,2
15,Dragon Dynasty,3
16,Dragon Dynasty,3
17,Dragon Dynasty,4
18,Dragon Dynasty,4
19,Dragon Dynasty,2
20,Dragon Dynasty,6
21,Dragon Dynasty,1
22,Dragon Dynasty,1
23,Dragon Dynasty,6
24,Dragon Dynasty,3
25,Dragon Dynasty,2
26,Dragon Dynasty,5
27,Dragon Dynasty,3
28,Dragon Dynasty,6
29,Dragon Dynasty,2
30,Dragon Dynasty,6
31,Dragon Dynasty,3
32,Dragon Dynasty,1
33,Dragon Dynasty,4
34,Dragon Dynasty,6
35,Dragon Dynasty,2
36,Dragon Dynasty,5
37,Dragon Dynasty,3
38,Dragon Dynasty,2
39,Dragon Dynasty,1
40,Dragon Dynasty,1
41,Dragon Dynasty,2
42,Dragon Dynasty,4
43,Dragon Dynasty,5
44,Dragon Dynasty,4
45,Dragon Dynasty,4
46,Dragon Dynasty,2
47,Dragon Dynasty,2
48,Dragon Dynasty,6
49,Dragon Dynasty,4
50,Dragon Dynasty,2
51,Dragon Dynasty,2
52,Dragon Dynasty,5
53,Dragon Dynasty,6
54,Dragon Dynasty,4
55,Dragon Dynasty,6
56,Dragon Dynasty,4
57,Dragon Dynasty,5
58,Dragon Dynasty,5
59,Dragon Dynasty,1
60,Dragon Dynasty,5
61,Dragon Dynasty,3
62,Dragon Dynasty,2
63,Dragon Dynasty,2
64,Dragon Dynasty,1
65,Dragon Dynasty,5
66,Dragon Dynasty,1
67,Dragon Dynasty,4
68,Dragon Dynasty,4
69,Dragon Dynasty,4
70,Dragon Dynasty,4
71,Dragon Dynasty,1
