Hid,Gym_Distance,Library_Distance
1,2.7,2.8
2,1.6,1.4
3,1.8,1.8
4,3.2,3.3
5,1.5,1.6
6,1.2,1.3
7,1,0.9
8,1.3,1.6
9,1.3,1.6
10,1.5,1.5
11,1.5,1.5
12,1.3,1.1
13,0.6,0.5
14,0.6,0.5
15,0.9,0.8
16,0.9,0.8
17,2.9,3
18,3.7,3.8
19,3.7,3.8
20,3.7,3.8
21,0.7,0.6
22,1.1,1.3
23,1.6,1.4
24,3.7,3.8
25,2.9,3
26,0.9,0.9
27,0.9,0.9
28,0.8,0.7
29,0.8,0.7
30,1,0.9
31,1,0.9
32,1.2,1.4
33,1.2,1.4
34,1.2,1.4
35,0.9,0.9
36,1.3,1.5
37,0.6,0.7
38,0.6,0.7
39,0.7,0.7
40,0.8,0.6
41,1.6,1.4
42,1.2,1.5
43,1.1,1.3
44,1.7,1.5
45,0.5,0.5
46,1.4,1.4
47,1.3,1.4
48,1.3,1.4
49,1.3,1.4
50,1.3,1.4
51,1.4,1.4
52,0.9,0.9
53,1.2,1.1
54,1,1
55,1.4,1.3
56,1.3,1.4
57,1.4,1.5
58,1.4,1.5
59,1.4,1.5
60,1.5,1.6
61,1.4,1.6
62,1.5,1.6
63,1.4,1.6
64,1.4,1.6
65,1,0.9
66,1.3,1.3
67,1.3,1.3
68,1.3,1.3
69,1.3,1.2
70,1.6,1.5
71,1,0.9
72,1,0.9
73,1,0.9
74,1,0.9
75,1,0.9
76,1.1,0.9
77,0.9,0.9
78,1,0.9
79,1,0.9
80,1.1,0.9
81,1.1,0.9
82,0.6,0.6
83,1.3,1.6
84,0.6,0.6
85,1.4,1.6
86,0.8,0.7
87,1.1,1
88,1.1,1
89,1.1,1
90,1.3,1.2
91,1.1,0.9
92,1.1,0.9
93,7.9,8.3
94,1,0.9
95,1.3,1.1
96,1.4,1.2
97,8,8.4
98,0.9,0.8
99,1,0.9
100,1.1,1
101,1.1,1
102,1.1,1
103,1.1,1
104,1.8,1.6
105,1.3,1.5
106,1.1,1.3
107,1.2,1.4
108,1.1,1
109,0.9,0.8
110,1.1,1
